fan_id,price_paid,game_date
FAN_0352,150,2026-03-12
FAN_0671,150,2026-03-29
FAN_1130,45,2025-10-12
FAN_0689,65,2024-06-03
FAN_0461,25,2026-03-04
FAN_1129,25,2026-01-03
FAN_0603,45,2024-06-10
FAN_0453,120,2026-02-19
FAN_0313,150,2025-11-26
FAN_0676,120,2026-03-12
FAN_0021,150,2026-02-02
FAN_0856,65,2024-09-29
FAN_0904,120,2026-02-18
FAN_0450,150,2026-03-28
FAN_0538,85,2024-10-22
FAN_1036,25,2025-12-29
FAN_0741,65,2026-01-03
FAN_0670,45,2026-04-02
FAN_0396,25,2024-05-15
FAN_0183,150,2026-01-05
FAN_0638,150,2026-02-28
FAN_0015,65,2025-11-14
FAN_0319,150,2026-01-17
FAN_0007,150,2026-01-08
FAN_0543,150,2026-03-14
FAN_0107,120,2024-11-08
FAN_0713,25,2026-01-13
FAN_0999,25,2026-02-28
FAN_0036,65,2025-12-22
FAN_0380,25,2026-03-02
FAN_0080,65,2026-02-03
FAN_0320,85,2026-02-18
FAN_0749,45,2026-03-22
FAN_0409,45,2024-11-11
FAN_0092,85,2025-12-17
FAN_0716,85,2026-01-05
FAN_0204,150,2025-11-11
FAN_0344,65,2026-01-15
FAN_0926,25,2026-03-14
FAN_1121,45,2024-05-31
FAN_1130,85,2026-02-26
FAN_1142,85,2025-10-19
FAN_1173,65,2026-02-16
FAN_0831,45,2025-11-30
FAN_0640,45,2025-11-24
FAN_0227,65,2025-10-15
FAN_0982,25,2024-12-23
FAN_0368,25,2024-11-13
FAN_0839,85,2026-01-24
FAN_0518,65,2025-10-21
FAN_1150,150,2024-05-23
FAN_0644,85,2024-09-18
FAN_0999,85,2024-07-10
FAN_0186,150,2025-12-06
FAN_1063,150,2026-03-18
FAN_0971,25,2026-03-19
FAN_0606,65,2025-02-27
FAN_0394,65,2025-12-13
FAN_0608,65,2026-03-04
FAN_0447,85,2025-11-19
FAN_0563,85,2026-02-04
FAN_1127,120,2024-06-14
FAN_0512,85,2025-11-03
FAN_1186,85,2026-01-16
FAN_0708,25,2025-12-30
FAN_1133,45,2025-11-22
FAN_0381,25,2024-11-04
FAN_0950,25,2026-01-22
FAN_1171,25,2025-12-11
FAN_0682,25,2025-10-11
FAN_0061,65,2026-03-28
FAN_1084,25,2026-04-06
FAN_0960,150,2025-11-14
FAN_0359,65,2025-11-11
FAN_0337,45,2026-01-10
FAN_0794,65,2026-01-23
FAN_0891,45,2026-04-01
FAN_0738,85,2024-09-03
FAN_0413,45,2026-01-11
FAN_0020,85,2025-11-19
FAN_0282,85,2025-11-25
FAN_0788,45,2026-02-19
FAN_0041,85,2024-07-30
FAN_1085,150,2024-06-06
FAN_0589,120,2024-08-03
FAN_1090,45,2025-11-17
FAN_0110,120,2025-10-22
FAN_0720,120,2024-05-20
FAN_0335,45,2025-11-04
FAN_0778,25,2025-02-08
FAN_0670,150,2025-10-10
FAN_0124,65,2024-12-02
FAN_0853,85,2026-02-21
FAN_0363,120,2025-10-12
FAN_1002,25,2025-12-25
FAN_0254,25,2026-02-28
FAN_0547,65,2025-10-29
FAN_0459,150,2024-06-15
FAN_1171,65,2026-02-13
FAN_0929,120,2025-12-03
FAN_1101,45,2025-11-09
FAN_0151,120,2025-10-23
FAN_0361,120,2025-10-19
FAN_0880,85,2026-04-02
FAN_1058,25,2026-03-02
FAN_0137,150,2025-02-03
FAN_0249,65,2026-04-03
FAN_0777,25,2026-03-30
FAN_0667,85,2026-03-03
FAN_0385,65,2026-04-05
FAN_0778,65,2025-11-07
FAN_0947,45,2026-01-07
FAN_0363,120,2026-02-20
FAN_0789,45,2026-02-25
FAN_0795,25,2026-01-04
FAN_0643,150,2026-02-19
FAN_0171,45,2025-10-13
FAN_0532,85,2024-08-26
FAN_0236,65,2025-12-25
FAN_0792,150,2025-12-17
FAN_0299,25,2025-12-28
FAN_1078,25,2025-12-26
FAN_0331,120,2025-11-12
FAN_0858,120,2025-12-30
FAN_0067,150,2025-12-15
FAN_0098,85,2024-06-10
FAN_0208,85,2026-02-07
FAN_0222,120,2025-11-30
FAN_0903,65,2026-01-05
FAN_0182,45,2025-12-12
FAN_0198,85,2026-01-24
FAN_0065,65,2025-12-27
FAN_0419,45,2026-01-25
FAN_0477,150,2026-03-05
FAN_0689,25,2025-11-30
FAN_0394,150,2026-01-25
FAN_0055,45,2025-12-07
FAN_0001,65,2025-10-24
FAN_1143,65,2024-10-06
FAN_1174,25,2026-03-10
FAN_0556,150,2024-11-25
FAN_0750,25,2026-04-06
FAN_0778,65,2026-01-16
FAN_1111,85,2025-11-25
FAN_0211,120,2026-01-09
FAN_0280,45,2026-02-05
FAN_0421,65,2026-01-21
FAN_0621,120,2026-01-25
FAN_1164,65,2024-05-27
FAN_0474,120,2024-06-07
FAN_0895,45,2025-11-21
FAN_0062,150,2026-03-01
FAN_0274,120,2025-11-29
FAN_1009,150,2026-01-06
FAN_0190,85,2026-01-20
FAN_0461,45,2026-01-08
FAN_0826,150,2025-12-18
FAN_0547,45,2026-02-07
FAN_1111,150,2025-12-07
FAN_0429,65,2025-11-08
FAN_0319,120,2026-01-27
FAN_0946,45,2024-06-06
FAN_1160,45,2026-02-25
FAN_0291,45,2026-03-07
FAN_0154,120,2024-09-07
FAN_0769,150,2024-05-24
FAN_1013,65,2025-11-11
FAN_0044,65,2025-12-03
FAN_0700,120,2025-11-17
FAN_1016,120,2024-09-26
FAN_0492,45,2025-01-10
FAN_0050,65,2024-10-12
FAN_0699,150,2026-02-04
FAN_0470,120,2026-02-05
FAN_0075,120,2026-03-22
FAN_1170,45,2025-10-10
FAN_0409,120,2026-01-21
FAN_0436,65,2024-09-18
FAN_1041,65,2025-10-10
FAN_0555,65,2025-12-11
FAN_1056,85,2024-11-08
FAN_0711,85,2025-01-04
FAN_0455,25,2025-02-23
FAN_0326,120,2026-02-20
FAN_1068,45,2024-09-04
FAN_0149,65,2025-11-16
FAN_0251,25,2025-11-27
FAN_0285,150,2025-01-21
FAN_0328,150,2024-07-31
FAN_0534,25,2026-02-10
FAN_0535,150,2026-03-19
FAN_0271,25,2025-12-02
FAN_0641,25,2026-02-01
FAN_0756,25,2026-01-23
FAN_0748,25,2025-12-09
FAN_0525,85,2025-10-09
FAN_0224,85,2026-02-10
FAN_0811,85,2025-11-11
FAN_0724,45,2025-12-07
FAN_0652,45,2026-02-16
FAN_1011,45,2025-11-19
FAN_0129,120,2026-02-24
FAN_0315,150,2026-01-12
FAN_0396,120,2026-01-06
FAN_0542,120,2026-02-15
FAN_0646,150,2025-10-17
FAN_0465,65,2026-04-05
FAN_0732,150,2026-01-25
FAN_1098,150,2026-02-08
FAN_0299,120,2024-09-14
FAN_0354,120,2024-12-10
FAN_0151,45,2026-01-13
FAN_1189,25,2025-10-19
FAN_0625,65,2025-12-24
FAN_1160,25,2026-01-11
FAN_0543,45,2026-01-30
FAN_0364,25,2026-01-03
FAN_0096,150,2025-12-15
FAN_0966,25,2026-02-02
FAN_0099,25,2026-01-28
FAN_0580,65,2025-10-11
FAN_0607,45,2025-01-18
FAN_0611,25,2025-10-17
FAN_0354,65,2025-12-25
FAN_0040,85,2025-12-15
FAN_0307,150,2026-03-12
FAN_0172,65,2024-08-06
FAN_0598,85,2024-07-30
FAN_0312,150,2026-03-21
FAN_0680,150,2025-11-27
FAN_0018,120,2025-11-01
FAN_0972,120,2026-04-01
FAN_0150,45,2026-03-28
FAN_1148,85,2025-01-30
FAN_0052,85,2025-11-14
FAN_0257,25,2026-01-15
FAN_1068,65,2024-05-12
FAN_0387,65,2025-11-24
FAN_0960,85,2026-03-21
FAN_0967,45,2025-11-18
FAN_0148,45,2024-10-05
FAN_1058,25,2025-10-28
FAN_0414,150,2026-02-18
FAN_1052,85,2025-12-19
FAN_0281,65,2025-02-19
FAN_1013,25,2026-03-03
FAN_0300,150,2025-12-15
FAN_0823,150,2026-02-14
FAN_0940,45,2025-12-21
FAN_1075,150,2026-03-31
FAN_0182,45,2025-11-10
FAN_0041,25,2025-10-14
FAN_0795,85,2025-12-14
FAN_0225,45,2025-11-22
FAN_0283,150,2026-03-12
FAN_0539,65,2025-02-01
FAN_0078,150,2025-11-28
FAN_0670,65,2026-02-13
FAN_0572,150,2024-05-18
FAN_1016,150,2026-01-30
FAN_1184,25,2025-12-13
FAN_1056,25,2026-03-07
FAN_0933,85,2026-01-22
FAN_0436,85,2026-03-24
FAN_1070,85,2025-10-11
FAN_0680,45,2024-05-06
FAN_0857,120,2026-01-19
FAN_0335,65,2025-12-12
FAN_1047,25,2024-11-07
FAN_0289,45,2025-10-27
FAN_0254,150,2025-11-26
FAN_0557,65,2025-10-28
FAN_0163,25,2026-03-10
FAN_0739,85,2025-11-03
FAN_0047,85,2025-10-11
FAN_0467,65,2025-12-09
FAN_0589,25,2025-12-03
FAN_0188,65,2026-01-06
FAN_0714,65,2025-10-15
FAN_0100,85,2026-02-14
FAN_0642,45,2025-12-17
FAN_0716,65,2025-12-06
FAN_1065,65,2026-01-16
FAN_0373,85,2026-01-18
FAN_1111,120,2026-03-20
FAN_1070,65,2026-02-07
FAN_0828,45,2026-01-06
FAN_0060,25,2026-02-04
FAN_0983,25,2025-11-27
FAN_1145,85,2024-06-20
FAN_1090,65,2026-01-16
FAN_0193,120,2026-01-29
FAN_0649,65,2025-11-15
FAN_0142,45,2025-01-08
FAN_0760,65,2026-03-04
FAN_0543,150,2026-01-26
FAN_0809,120,2026-03-21
FAN_0965,150,2025-10-30
FAN_1068,25,2025-10-28
FAN_0408,45,2025-10-30
FAN_0836,45,2026-02-27
FAN_0237,45,2025-12-31
FAN_0540,45,2025-11-26
FAN_1162,85,2026-01-18
FAN_0272,65,2026-01-24
FAN_0383,150,2025-12-02
FAN_0738,65,2025-10-26
FAN_0239,150,2026-01-23
FAN_0119,25,2024-09-26
FAN_0281,120,2024-05-28
FAN_0798,150,2025-02-13
FAN_0517,150,2024-09-20
FAN_0279,120,2026-01-30
FAN_0030,45,2025-10-16
FAN_1179,85,2025-12-02
FAN_0998,65,2024-08-03
FAN_0306,65,2026-01-27
FAN_0223,120,2026-01-21
FAN_1154,65,2025-12-02
FAN_0924,25,2025-11-09
FAN_0938,120,2026-02-22
FAN_0642,45,2024-11-08
FAN_1036,65,2025-12-25
FAN_1151,25,2025-12-18
FAN_1045,85,2026-04-05
FAN_1138,25,2024-10-11
FAN_0813,150,2024-09-25
FAN_0168,150,2025-12-26
FAN_0606,150,2025-12-01
FAN_0859,150,2024-12-11
FAN_0849,25,2025-01-10
FAN_0010,45,2024-06-05
FAN_0341,25,2026-03-24
FAN_1153,85,2024-06-27
FAN_0919,45,2025-11-13
FAN_0485,85,2025-10-09
FAN_0916,120,2025-11-26
FAN_0123,65,2025-12-17
FAN_0873,120,2025-12-30
FAN_0533,65,2026-03-21
FAN_0392,25,2025-03-01
FAN_0658,85,2025-11-26
FAN_1134,150,2025-02-25
FAN_1186,150,2025-11-10
FAN_0927,25,2026-03-03
FAN_0340,45,2025-02-26
FAN_0953,45,2025-11-03
FAN_0894,25,2024-05-12
FAN_0967,25,2025-10-10
FAN_0532,45,2026-01-24
FAN_0095,150,2026-02-06
FAN_0301,85,2026-02-08
FAN_0564,120,2025-12-11
FAN_0627,25,2025-12-03
FAN_0462,25,2025-01-30
FAN_0247,85,2024-10-27
FAN_0937,85,2025-12-11
FAN_0675,25,2026-03-09
FAN_0654,150,2025-10-27
FAN_1186,85,2025-11-11
FAN_0794,45,2025-10-08
FAN_0125,85,2025-10-19
FAN_0066,65,2025-12-16
FAN_1135,85,2025-11-09
FAN_0661,85,2024-07-02
FAN_0736,120,2024-05-22
