fan_id,item_type,amount
FAN_0719,Hot Dog,14.09
FAN_0672,Hot Dog,16.27
FAN_1092,Soda,18.05
FAN_0855,Soda,14.26
FAN_0918,Pretzel,15.46
FAN_1141,Nachos,10.14
FAN_1142,Nachos,8.55
FAN_1116,Pretzel,10.88
FAN_1024,Soda,12.08
FAN_0302,Pretzel,10.18
FAN_0468,Hot Dog,8.43
FAN_1187,Soda,10.54
FAN_0001,Nachos,16.15
FAN_0771,Hot Dog,10.67
FAN_1141,Soda,18.42
FAN_0612,Pretzel,9.56
FAN_0307,Nachos,14.15
FAN_1047,Soda,16.83
FAN_0253,Hot Dog,13.04
FAN_0914,Pretzel,19.67
FAN_0552,Nachos,17.98
FAN_1192,Beer,19.94
FAN_0149,Soda,21.55
FAN_1129,Pretzel,10.23
FAN_0602,Beer,13.32
FAN_0895,Soda,19.87
FAN_0429,Nachos,18.16
FAN_0161,Soda,17.55
FAN_0341,Pretzel,10.62
FAN_0682,Beer,19.34
FAN_0682,Hot Dog,20.17
FAN_0971,Beer,9.34
FAN_0942,Pretzel,14.91
FAN_0230,Hot Dog,13.66
FAN_0807,Hot Dog,11.63
FAN_0515,Beer,17.29
FAN_0417,Beer,8.16
FAN_0152,Beer,14.79
FAN_0301,Pretzel,15.05
FAN_0571,Hot Dog,21.56
FAN_0200,Beer,18.66
FAN_0563,Soda,12.44
FAN_0842,Hot Dog,14.05
FAN_0178,Beer,19.32
FAN_0795,Hot Dog,18.93
FAN_1117,Nachos,19.78
FAN_0474,Beer,16.98
FAN_0123,Hot Dog,18.35
FAN_0765,Nachos,17.02
FAN_0692,Beer,20.95
FAN_0212,Nachos,8.51
FAN_0063,Hot Dog,12.34
FAN_0304,Pretzel,13.64
FAN_0426,Beer,10.18
FAN_0718,Nachos,18.58
FAN_0785,Hot Dog,18.72
FAN_0742,Nachos,15.79
FAN_0916,Pretzel,16.5
FAN_0867,Beer,10.87
FAN_0875,Nachos,10.74
FAN_0152,Soda,21.99
FAN_1138,Soda,13.22
FAN_0313,Pretzel,9.06
FAN_0418,Nachos,9.63
FAN_0709,Beer,12.75
FAN_0034,Soda,20.49
FAN_1157,Soda,8.77
FAN_0009,Soda,15.51
FAN_0006,Pretzel,16.87
FAN_0509,Soda,18.2
FAN_0805,Pretzel,15.84
FAN_0689,Hot Dog,11.68
FAN_1157,Nachos,10.79
FAN_0255,Pretzel,11.1
FAN_0118,Pretzel,20.22
FAN_0668,Hot Dog,12.34
FAN_0131,Soda,17.69
FAN_0969,Soda,21.83
FAN_1002,Soda,14.71
FAN_0829,Beer,18.7
FAN_0187,Soda,21.35
FAN_0430,Soda,11.93
FAN_0822,Hot Dog,21.94
FAN_1038,Nachos,16.46
FAN_0211,Beer,14.5
FAN_0425,Soda,18.25
FAN_0645,Hot Dog,17.71
FAN_0648,Pretzel,16.18
FAN_0976,Soda,17.69
FAN_0947,Nachos,12.32
FAN_0696,Pretzel,18.05
FAN_1065,Beer,18.39
FAN_0829,Hot Dog,18.97
FAN_1035,Pretzel,17.9
FAN_0913,Nachos,13.8
FAN_0559,Soda,17.57
FAN_0685,Soda,10.27
FAN_1055,Beer,9.14
FAN_0503,Pretzel,13.87
FAN_0372,Nachos,8.91
FAN_1110,Pretzel,18.72
FAN_1004,Soda,10.2
FAN_0411,Soda,14.66
FAN_0544,Hot Dog,9.33
FAN_0894,Hot Dog,11.12
FAN_0171,Nachos,10.76
FAN_1156,Pretzel,11.53
FAN_1137,Hot Dog,18.12
FAN_0570,Beer,8.03
FAN_0417,Hot Dog,18.58
FAN_0318,Pretzel,8.1
FAN_0070,Nachos,13.72
FAN_0028,Pretzel,11.15
FAN_0217,Soda,16.1
FAN_0342,Nachos,12.55
FAN_0204,Soda,8.62
FAN_1102,Soda,10.21
FAN_0024,Beer,17.49
FAN_0314,Beer,14.72
FAN_1051,Nachos,13.04
FAN_0543,Soda,12.82
FAN_1188,Hot Dog,16.68
FAN_0702,Soda,8.05
FAN_0343,Nachos,14.5
FAN_0643,Soda,21.2
FAN_0367,Hot Dog,8.35
FAN_0801,Pretzel,9.56
FAN_0791,Nachos,14.64
FAN_0591,Soda,16.42
FAN_0497,Nachos,18.44
FAN_0211,Pretzel,17.72
FAN_0655,Pretzel,20.71
FAN_0107,Pretzel,11.75
FAN_0480,Beer,9.96
FAN_0276,Nachos,8.03
FAN_0962,Nachos,13.16
FAN_0146,Beer,21.12
FAN_0722,Soda,16.08
FAN_0253,Hot Dog,21.76
FAN_0582,Pretzel,12.1
FAN_0199,Pretzel,20.44
FAN_1188,Hot Dog,19.79
FAN_0352,Nachos,21.62
FAN_0771,Soda,15.49
FAN_1080,Nachos,13.45
FAN_1191,Nachos,18.6
FAN_0983,Nachos,17.36
FAN_0329,Nachos,15.74
FAN_0513,Soda,14.66
FAN_0547,Soda,11.72
FAN_0104,Beer,17.67
FAN_0151,Nachos,17.66
FAN_0103,Pretzel,11.66
FAN_0127,Soda,8.8
FAN_0952,Hot Dog,19.64
FAN_0502,Beer,8.85
FAN_1001,Nachos,17.74
FAN_0313,Nachos,9.8
FAN_1078,Hot Dog,18.23
FAN_0089,Beer,13.71
FAN_1165,Nachos,17.66
FAN_0808,Beer,15.46
FAN_0497,Hot Dog,17.55
FAN_0515,Soda,15.86
FAN_0917,Beer,14.98
FAN_0982,Hot Dog,10.09
FAN_0737,Soda,8.03
FAN_0913,Nachos,11.98
FAN_0009,Beer,13.18
FAN_0345,Soda,9.52
FAN_0834,Hot Dog,9.18
FAN_0788,Beer,12.97
